# Comments about run
# date: 20150402
# mar related:
# Looked at mar promoter libraries in MG1655 delta marR, as well as
# in MG1655 delta marRAB strains. Growth of cells was in LB media
# at 30C.
# rel related:
# After overnight growth of sorted cells (rel , where only the downstream
region after the RNAP binding site should be mutated).
# The library was PCR amplified such that the RNAP
# region should be mainly wild-type. These cells were grown in M9 glucose.
# Post analysis note: The upstream region where RNAP binds turned out to have
# some non-negligible mutation rate. This is likely due to the amount of initial
# library I input into the PCR during construction (since this library was based
# on the other full mut1 library). It still looks like the data is good.
date,promoter,strain,region,bin,sequence,voltage,gain,media,condition,fluorescence,count,fraction
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,1.25892541179,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,1.31587818242,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,1.37540745047,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,1.43762977461,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,1.50266698652,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,1.57064642947,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,1.64170120761,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,1.71597044662,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,1.79359956613,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,1.87474056442,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,1.95955231605,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,2.04820088294,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,2.14085983953,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,2.2377106126,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,2.33894283657,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,2.44475472473,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,2.55535345739,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,2.67095558756,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,2.79178746489,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,2.91808567893,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,3.05009752234,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,3.18808147512,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,3.33230771067,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,3.48305862483,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,3.64062938881,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,3.80532852711,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,3.97747852164,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,4.15741644312,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,4.3454946111,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,4.54208128376,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,4.747561379,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,4.96233722807,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,5.1868293634,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,5.42147734193,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,5.66674060582,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,5.92309938203,0.0,0.0
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,6.19105562259,5.0,1.04248979924e-05
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,6.47113398743,12.0,2.50197551817e-05
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,6.76388287168,17.0,3.54446531741e-05
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,7.06987547943,32.0,6.67193471512e-05
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,7.38971094605,23.0,4.79545307649e-05
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,7.72401551131,41.0,8.54841635375e-05
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,8.07344374557,48.0,0.000100079020727
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,8.43867983142,47.0,9.79940411283e-05
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,8.82043890332,59.0,0.00012301379631
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,9.21946844785,81.0,0.000168883347476
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,9.63654976725,78.0,0.000162628408681
20150402,marR,MG1655deltamarRAB,na,na,wild-type,600,1H,LB,30C,10.0724995093,92.0,0.00019181812306
