ProteinIDs,gene,peptides,intensity_total_01,intensity_L_01,intensity_H_01,intensity_total_1,intensity_L_1,intensity_H_1,intensity_total_10,intensity_L_10,intensity_H_10,intensity_total_100,intensity_L_100,intensity_H_100,intensity_total_1000,intensity_L_1000,intensity_H_1000,MaxQuant_ratio_type,maxquant_ratio_01,maxquant_ratio_1,maxquant_ratio_10,maxquant_ratio_100,maxquant_ratio_1000,maxquant_ratio_normalized_01,maxquant_ratio_normalized_1,maxquant_ratio_normalized_10,maxquant_ratio_normalized_100,maxquant_ratio_normalized_1000,promoter,date,wt_sequence,control_sequence,strain,media,binding_additions,replicate,spec_machine,labeling
P00350,gnd,17,2449800000,2291300000,158540000,3261400000,1909800000,1351600000,789780000,103830000,685960000.0,758070000,16669000,741400000,798460000,13567000.0,784900000,Median,0.068175,0.68804,7.4541,51.125,39.509,0.89306,0.88009,1.0563,1.2161,59.592,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00370,gdhA,5,5423800,3720100,1703700,15150000,2409900,12740000,2720500,150440,2570100.0,6791500,29992,6761500,9287200,54757.0,9232500,Median,0.4471,5.2556,18.072,173.27,168.31,4.2828,7.1936,3.1927,26.253,134.41,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00448,sodA,14,1228600000,1107500000,121120000,2751800000,1311800000,1440000000,455450000,37097000,418350000.0,347350000,8210000,339140000,373020000,4364400.0,368660000,Median,0.10433,1.0758,10.752,53.451,114.38,1.3801,1.4532,1.3507,1.4671,39.052,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00452;P00452-2,nrdA,9,171300000,160350000,10948000,195050000,115880000,79171000,13234000,1455000,11779000.0,15010000,77390,14933000,14373000,0.0,14373000,Median,0.065528,0.65037,7.8161,31.316,,0.80283,0.86207,1.2278,4.7948,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00490,malP,11,84015000,74218000,9797100,63862000,27427000,36434000,52014000,3291500,48722000.0,36995000,1116500,35878000,26992000,1438100.0,25554000,Median,0.16716,1.3218,14.813,12.051,11.906,2.1266,1.8334,1.8781,1.3736,18.378,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00509,aspC,15,1115200000,1037900000,77299000,1237300000,705200000,532090000,495880000,49657000,446230000.0,333820000,6376200,327440000,159690000,1951300.0,157740000,Median,0.074235,0.72822,8.8913,46.831,111.48,0.92697,0.9757,1.1517,1.2599,74.477,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00547,thrB,3,0,0,0,21919000,9841500,12077000,5712400,672100,5040400.0,0,0,0,13231000,7027800.0,6202800,Median,,1.0211,7.4754,,0.66768,,1.3704,1.1853,,1.0306,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00561,thrA,15,931220000,850770000,80452000,1033500000,518390000,515060000,299670000,27051000,272620000.0,435760000,7009800,428750000,298610000,4386800.0,294220000,Median,0.094989,1.038,11.553,62.186,85.363,1.2631,1.3585,1.3263,1.2763,131.76,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00562,metL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,Median,,,,,,,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00579,rpoD,8,218690000,198340000,20357000,108760000,66544000,42220000,47842000,6136200,41706000.0,24571000,883550,23687000,49969000,1858900.0,48110000,Median,0.061336,0.67875,6.8686,32.665,13.055,0.66951,0.93884,0.84712,1.6885,20.151,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00582,polA,6,76395000,17637000,58757000,11241000,6295900,4944800,0,0,0.0,10017000,128570,9888200,5339600,0.0,5339600,Median,0.20764,0.77411,,5.2053,,1.423,1.0792,,1.0062,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00803,lepB,2,0,0,0,0,0,0,0,0,0.0,8035000,456980,7578000,0,0.0,0,Median,,,,13.149,,,,,1.0797,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00811,ampC,1,0,0,0,0,0,0,0,0,0.0,1668600,0,1668600,0,0.0,0,Median,,,,,,,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00864,ppc,11,873950000,816020000,57924000,591830000,353160000,238680000,221860000,26888000,194970000.0,225510000,6203800,219310000,171060000,96441.0,170960000,Median,0.066913,0.68534,6.56,28.23,82.097,0.91038,0.94426,0.88427,1.0971,126.72,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00887,aroH,2,16741000,16125000,616980,47908000,27631000,20277000,0,0,0.0,5583200,0,5583200,2654100,0.0,2654100,Median,0.07303,0.83289,,,,0.86008,1.0973,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00888,aroF,8,299610000,242550000,57059000,738510000,239830000,498670000,213450000,9717200,203730000.0,373610000,7617000,365990000,149860000,363030.0,149500000,Median,0.22091,2.2465,25.599,47.372,58.626,2.8886,2.8559,2.9407,0.91637,90.489,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00893,ilvI,2,44073000,40635000,3437000,50005000,21181000,28825000,7118500,604860,6513700.0,7963600,0,7963600,0,0.0,0,Median,0.082474,0.93171,11.14,,,1.0272,1.218,1.7127,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00894,ilvH,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,Median,,,,,,,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00895,trpE,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,Median,,,,,,,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00904,trpGD,2,23361000,21996000,1364900,16000000,9469600,6530100,0,0,0.0,0,0,0,0,0.0,0,Median,0.081796,0.4443,,,,0.87853,0.61262,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
