ProteinIDs,gene,peptides,intensity_total_01,intensity_L_01,intensity_H_01,intensity_total_1,intensity_L_1,intensity_H_1,intensity_total_10,intensity_L_10,intensity_H_10,intensity_total_100,intensity_L_100,intensity_H_100,intensity_total_1000,intensity_L_1000,intensity_H_1000,MaxQuant_ratio_type,maxquant_ratio_01,maxquant_ratio_1,maxquant_ratio_10,maxquant_ratio_100,maxquant_ratio_1000,maxquant_ratio_normalized_01,maxquant_ratio_normalized_1,maxquant_ratio_normalized_10,maxquant_ratio_normalized_100,maxquant_ratio_normalized_1000,promoter,date,wt_sequence,control_sequence,strain,media,binding_additions,replicate,spec_machine,labeling
P00909,trpC,8,293670000,272580000,21085000,355170000,210270000,144890000,112590000,13046000,99547000.0,109170000,2926600,106240000,61600000,1692800.0,59907000,Median,0.077093,0.74279,6.3863,14.609,40.253,0.97925,1.0332,0.80574,1.0865,62.131,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00934,thrC,12,1004500000,917710000,86773000,1783400000,870190000,913190000,289710000,20207000,269500000.0,304640000,3388600,301250000,222120000,837520.0,221280000,Median,0.10859,1.0362,11.134,62.951,24.514,1.4481,1.3518,1.4576,1.4192,37.837,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00935,metB,3,13446000,12743000,702530,39530000,22992000,16538000,0,0,0.0,11281000,0,11281000,0,0.0,0,Median,0.075224,0.87269,,,,0.84871,1.1232,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00946,manA,9,60454000,56668000,3786400,140700000,90342000,50362000,13512000,1496200,12016000.0,50975000,2458200,48517000,10624000,0.0,10624000,Median,0.070542,0.65266,6.9854,16.097,,0.8554,0.90739,1.0856,1.5129,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00954,trpS,6,165870000,153410000,12463000,384970000,213670000,171300000,116710000,12870000,103840000.0,147900000,4659000,143240000,56896000,2656500.0,54239000,Median,0.076625,0.82707,6.9177,28.904,14.824,0.94937,1.1029,0.93808,1.3145,22.881,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00956,ileS,22,699770000,651300000,48470000,429910000,262460000,167450000,152480000,20615000,131870000.0,134340000,3697300,130640000,136740000,2305100.0,134440000,Median,0.067072,0.63207,5.6956,22.909,23.576,0.81249,0.86447,0.91487,1.6257,26.779,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00957,alaS,19,436470000,386730000,49736000,419530000,247430000,172100000,71190000,8780400,62409000.0,66455000,3786800,62668000,88977000,9940200.0,79036000,Median,0.061568,0.63306,6.6653,19.197,12.818,0.7297,0.84244,0.97574,2.2719,19.785,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00959,metG,14,471670000,438410000,33254000,669590000,404390000,265200000,124100000,16504000,107590000.0,119720000,7483300,112230000,117070000,2430200.0,114640000,Median,0.064972,0.65185,6.8427,33.914,30.5,0.84448,0.85195,0.9165,0.84053,39.728,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00960,glyQ,1,25401000,23799000,1602100,58221000,34990000,23230000,4680400,569980,4110400.0,0,0,0,0,0.0,0,Median,0.054559,0.57872,5.8907,,,0.69743,0.76302,0.97029,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00961,glyS,14,803230000,719320000,83906000,571560000,388630000,182930000,196530000,31442000,165090000.0,167100000,5489100,161610000,150170000,161860.0,150000000,Median,0.047602,0.48431,5.2187,31.271,7.7683,0.65906,0.64191,0.71014,1.3294,4.2672,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00962,glnS,8,395430000,368170000,27260000,257760000,148890000,108870000,70367000,7810900,62556000.0,52442000,215620,52226000,61863000,60561.0,61802000,Median,0.080263,0.69641,7.2596,25.736,160.75,0.9513,0.93782,0.98852,2.3972,248.12,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00963,asnA,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,Median,,,,,,,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P00968,carB,28,36850000,34700000,2150600,164450000,82614000,81838000,559050000,51383000,507660000.0,51269000,1153300,50116000,197830000,236640.0,197590000,Median,0.096246,0.94411,9.492,21.006,50.003,1.0194,1.3097,1.251,2.0854,77.181,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P02358,rpsF,3,328530000,303640000,24893000,543210000,293110000,250110000,92863000,20127000,72736000.0,75096000,25340000,49756000,95686000,34648000.0,61037000,Median,0.07726,0.83588,5.0751,2.591,20.025,1.0522,1.0852,0.85639,0.19554,30.91,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P02359,rpsG,12,670490000,620840000,49657000,1422200000,768100000,654060000,516230000,62112000,454120000.0,123980000,16694000,107280000,115160000,8329500.0,106830000,Median,0.085411,0.88243,9.395,12.142,20.552,1.121,1.1564,1.3207,0.55619,15.373,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P02413,rplO,8,1195700000,1100600000,95096000,1097200000,636140000,461110000,322820000,31514000,291310000.0,196380000,3695800,192690000,78411000,592640.0,77819000,Median,0.077607,0.79561,7.6589,58.043,29.446,1.0237,1.0329,1.1045,1.241,45.451,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P02925,rbsB,4,0,0,0,19962000,11243000,8718400,0,0,0.0,15695000,1250100,14445000,2980400,0.0,2980400,Median,,0.85889,,3.3359,,,1.1904,,0.27583,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P02930,tolC,2,0,0,0,8183300,4760400,3422900,2430400,522430,1907900.0,0,0,0,0,0.0,0,Median,,0.6642,3.887,,,,0.87917,0.71074,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P02931,ompF,6,121530000,115500000,6031000,198410000,101130000,97276000,67992000,10836000,57156000.0,40427000,347400,40080000,11122000,221280.0,10901000,Median,0.062199,0.98889,5.1109,65.772,22.424,0.80671,1.3449,0.72161,1.4195,34.612,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P02932,phoE,2,0,0,0,27861000,13860000,14002000,0,0,0.0,0,0,0,0,0.0,0,Median,,0.9419,,,,,1.3126,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P04036,dapB,1,0,0,0,45704000,27943000,17761000,2748300,475630,2272700.0,0,0,0,3002100,0.0,3002100,Median,,0.63097,5.0969,,,,0.82317,0.89784,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P04079,guaA,4,95277000,84385000,10892000,195770000,102230000,93539000,32941000,2834700,30107000.0,14753000,0,14753000,15871000,0.0,15871000,Median,0.094758,0.93464,7.4083,,,1.2223,1.2602,1.3549,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P04335,frsA,1,44915000,42671000,2243900,72278000,48683000,23595000,7845200,907560,6937600.0,9650700,158130,9492600,6713200,0.0,6713200,Median,0.058469,0.51977,6.9009,32.011,,0.76647,0.68484,1.0433,1.8448,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P04391;P06960,argI;argF,4,95676000,81632000,14044000,114020000,49614000,64405000,38901000,3617100,35284000.0,40565000,772350,39793000,17345000,167950.0,17177000,Median,0.1396,1.2413,13.164,22.008,19.023,1.6036,1.6828,1.6777,1.6312,29.362,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P04425,gshB,4,11335000,10190000,1145300,42071000,22293000,19778000,5039700,555720,4484000.0,8687200,0,8687200,4455800,0.0,4455800,Median,0.099513,0.90109,6.8954,,,1.091,1.1991,1.1036,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P04693,tyrB,3,45939000,41988000,3950600,96373000,50429000,45943000,17101000,1594700,15507000.0,16321000,496590,15824000,0,0.0,0,Median,0.06996,0.94618,9.977,31.619,,0.68838,1.2826,1.2895,0.82388,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P04805,gltX,11,214800000,200230000,14566000,331580000,184870000,146710000,100420000,11057000,89361000.0,109170000,2831500,106330000,87198000,1931400.0,85266000,Median,0.077616,0.78565,9.2911,29.294,25.589,0.99172,1.0542,1.1855,1.1959,39.497,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P04816,livK,15,747010000,682580000,64432000,999560000,530050000,469510000,402910000,60716000,342200000.0,451800000,44724000,407080000,351110000,34931000.0,316180000,Median,0.085443,0.8221,9.297,35.033,27.68,1.168,1.1153,1.2677,1.6538,17.793,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P04825,pepN,6,230330000,215450000,14879000,115900000,67797000,48102000,67410000,8510900,58899000.0,49049000,789590,48260000,4689100,35368.0,4653700,Median,0.069682,0.6978,7.8482,27.343,77.901,0.88142,0.90873,0.95305,1.339,120.24,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P04846,nlpA,4,55967000,50895000,5071500,65884000,37696000,28189000,13475000,2361900,11113000.0,11655000,45911,11609000,4637700,0.0,4637700,Median,0.097281,0.79692,5.9845,36.296,,1.2428,1.0637,0.92768,10.487,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P04968,ilvA,1,10071000,9418800,652410,16455000,9448800,7006600,1678600,328220,1350400.0,0,0,0,0,0.0,0,Median,0.084433,0.65729,3.833,,,0.89632,0.91045,0.76517,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P05020,pyrC,4,158460000,144230000,14234000,410510000,220250000,190260000,45162000,5001600,40160000.0,91166000,1061900,90104000,22299000,444590.0,21854000,Median,0.10157,0.83991,8.254,28.013,20.577,1.3339,1.1018,1.1236,1.2401,31.761,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P05042,fumC,3,0,0,0,0,0,0,0,0,0.0,6417100,440270,5976900,0,0.0,0,Median,,,,10.098,,,,,1.1934,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P05055,pnp,13,303290000,279280000,24009000,324340000,177600000,146740000,159040000,18886000,140160000.0,104860000,2452800,102400000,107020000,298050.0,106720000,Median,0.089417,0.92805,8.66,20.396,96.752,1.1688,1.2266,1.1505,1.6359,149.34,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P05459,pdxB,4,39388000,36399000,2988900,10992000,6836900,4155300,9369700,867040,8502700.0,12851000,0,12851000,4536500,0.0,4536500,Median,0.072988,0.73955,8.1134,,,0.94947,1.0222,1.1654,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P05791,ilvD,5,87213000,82114000,5099100,44163000,26105000,18058000,12570000,1666500,10904000.0,8350900,0,8350900,9577300,0.0,9577300,Median,0.053182,0.6641,7.6666,,,0.68677,0.91846,1.2206,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P05793,ilvC,27,7008600000,6281900000,726770000,9027300000,4182000000,4845300000,3736300000,295960000,3440300000.0,3382900000,377420000,3005500000,3463300000,625450000.0,2837800000,Median,0.11284,1.1547,12.087,68.135,56.894,1.4996,1.5177,1.5086,1.4902,14.24,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P05825,fepA,3,13625000,13088000,536490,30068000,17107000,12961000,3201200,618860,2582300.0,2110100,0,2110100,5483600,0.0,5483600,Median,0.044282,0.79723,4.3823,,,0.50103,1.0756,0.74782,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P06149,dld,2,7621100,6812200,808970,22002000,10576000,11426000,2775900,309760,2466100.0,1536500,0,1536500,443190,0.0,443190,Median,0.1315,1.0795,7.3636,,,1.2663,1.4826,1.2934,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P06610,btuE,4,13577000,12070000,1506800,96285000,48888000,47397000,5215900,462550,4753400.0,3187900,134420,3053400,0,0.0,0,Median,0.12187,0.90004,9.5316,21.529,,1.3778,1.1944,1.5161,6.6105,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P06612,topA,4,32974000,24730000,8244300,40896000,23477000,17418000,3359100,443620,2915500.0,2838000,50130,2787800,0,0.0,0,Median,0.87324,0.72089,5.9092,28.381,,10.707,0.95742,1.0042,9.8489,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P06715,gor,4,0,0,0,0,0,0,0,0,0.0,0,0,0,9062800,1560400.0,7502400,Median,,,,,4.1817,,,,,6.4544,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P06721,metC,1,0,0,0,35361000,20971000,14390000,9269500,877070,8392500.0,0,0,0,0,0.0,0,Median,,0.78087,7.3267,,,,1.088,1.2198,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P06959,aceF,30,1781000000,1680800000,100230000,1630000000,971030000,658950000,514950000,59038000,455920000.0,410260000,8049500,402210000,371910000,904960.0,371000000,Median,0.060132,0.64016,5.8163,48.225,182.84,0.8018,0.87652,0.8447,0.94893,205.29,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P06966,dicA,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,Median,,,,,,,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P06968,dut,1,6715200,6336800,378410,12206000,7601200,4605000,0,0,0.0,0,0,0,0,0.0,0,Median,0.052251,0.70017,,,,0.51215,0.98558,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P06971,fhuA,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,Median,,,,,,,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P06986,hisC,1,41360000,38967000,2392600,137240000,81711000,55527000,14206000,1400900,12805000.0,12370000,128660,12242000,0,0.0,0,Median,0.1091,0.66153,7.0367,40.532,,1.424,0.86482,0.94616,1.373,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P06987,hisB,4,359960000,339040000,20921000,616060000,385850000,230210000,104760000,13300000,91456000.0,82343000,1962600,80381000,22649000,57534.0,22592000,Median,0.06344,0.59354,6.9135,30.746,285.95,0.88165,0.76428,0.81208,0.91751,441.37,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P06988,hisD,8,682770000,640420000,42352000,902870000,543130000,359740000,179590000,23077000,156510000.0,158690000,3321100,155370000,138910000,83840.0,138830000,Median,0.058676,0.64758,6.5389,45.253,300.84,0.77476,0.84683,0.87221,0.84658,464.34,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P06989,hisI,3,21388000,20331000,1056900,30245000,18385000,11860000,4774700,632930,4141700.0,2865700,0,2865700,5408500,0.0,5408500,Median,0.067505,0.7079,6.0718,,,0.83705,0.98133,0.9924,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P06996;P77747;P76335;P77519,ompC,9,698590000,675370000,23219000,594860000,402620000,192240000,146240000,34423000,111820000.0,87649000,2119900,85529000,42047000,468330.0,41579000,Median,0.033335,0.48568,3.1495,30.439,38.133,0.44113,0.64336,0.39329,1.282,58.859,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P06999,pfkB,7,121810000,116210000,5598600,214960000,132520000,82437000,33674000,4369300,29305000.0,18557000,0,18557000,25625000,0.0,25625000,Median,0.051045,0.63383,8.3592,,,0.6896,0.83025,1.1256,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P07001,pntA,7,212100000,198150000,13950000,343020000,200950000,142070000,35377000,5137400,30239000.0,64356000,3125800,61231000,36925000,215630.0,36710000,Median,0.085064,0.72176,5.7332,11.76,17.434,1.1541,0.95859,0.83458,0.86926,26.91,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P07003,poxB,6,182570000,171210000,11361000,195040000,111600000,83440000,43340000,4804300,38536000.0,31073000,465010,30608000,25449000,79736.0,25369000,Median,0.065308,0.7283,5.8454,41.762,71.98,0.81068,0.96522,0.97744,2.3164,111.1,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P07004,proA,7,63997000,60269000,3728100,198770000,121280000,77488000,17588000,2151800,15436000.0,38735000,3400600,35334000,34532000,179210.0,34353000,Median,0.082183,0.58801,5.1641,18.046,39.586,1.0011,0.77497,0.78345,2.1603,61.102,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P07012,prfB,3,26464000,24237000,2227100,81940000,46749000,35191000,6802800,1195900,5606900.0,5072100,177750,4894300,833180,0.0,833180,Median,0.12296,0.65925,4.3997,14.099,,1.3849,0.8951,0.7527,5.7472,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P07014,sdhB,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,Median,,,,,,,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P07023,tyrA,7,767990000,732250000,35734000,1297600000,872610000,425030000,106660000,15403000,91252000.0,100220000,2292200,97930000,45479000,139530.0,45340000,Median,0.049316,0.50987,5.4351,51.032,96.842,0.67345,0.65958,0.77594,1.0699,149.48,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P07024,ushA,11,268900000,249840000,19065000,216450000,125470000,90987000,50234000,6548900,43685000.0,40484000,811380,39672000,17436000,175620.0,17260000,Median,0.072625,0.66131,7.0218,33.394,41.847,0.93963,0.90953,1.1016,2.2656,30.559,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P07118,valS,22,769830000,705660000,64168000,650230000,402770000,247460000,151740000,21551000,130180000.0,283270000,12683000,270590000,457780000,7529600.0,450250000,Median,0.069054,0.62901,7.3209,28.118,40.867,0.94753,0.85189,0.95977,1.7483,27.37,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P07395,pheT,9,363010000,337670000,25342000,226420000,135740000,90680000,67127000,8766900,58360000.0,140480000,68471000,72005000,95271000,31406000.0,63865000,Median,0.065449,0.73368,7.1949,43.247,17.837,0.89011,0.96885,0.84854,0.99356,27.531,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P07604,tyrR,3,10163000,9432700,730510,0,0,0,0,0,0.0,0,0,0,0,0.0,0,Plateau,0.12509,,,,,1.3312,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P07623,metA,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,Median,,,,,,,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P07639,aroB,1,7107400,6693600,413780,9899500,6195600,3703900,2522600,332480,2190100.0,0,0,0,0,0.0,0,Median,0.053069,0.67484,2.4624,,,0.5248,0.89293,0.44483,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P07650,deoA,5,0,0,0,0,0,0,0,0,0.0,125720000,4293100,121430000,10755000,476290.0,10279000,Median,,,,33.471,7.9001,,,,1.0365,12.194,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P07813,leuS,20,570100000,528760000,41341000,720080000,411630000,308440000,112660000,13122000,99537000.0,141490000,5576200,135920000,40374000,90092.0,40284000,Median,0.071586,0.71482,7.5611,464.05,52.293,0.9576,0.96953,1.0799,1.4421,80.714,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P08142,ilvB,5,188400000,176690000,11708000,145250000,80145000,65104000,33951000,3311000,30640000.0,20805000,670830,20134000,10950000,523020.0,10427000,Median,0.10248,0.77108,9.5605,38.808,23.163,1.1285,1.0527,1.2835,2.0423,35.752,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P08178,purM,5,26962000,25203000,1758800,9209300,5548100,3661100,11374000,1159600,10215000.0,43754000,22419000,21335000,10684000,0.0,10684000,Median,0.084115,0.61387,7.2696,7.6446,,1.0764,0.8063,0.99294,1.9362,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P08200,icd,16,6328600000,5872900000,455690000,6852500000,3791900000,3060600000,2464900000,251100000,2213800000.0,2390300000,41579000,2348800000,1484200000,4879600.0,1479300000,Median,0.068499,0.70847,7.7155,48.836,289.22,0.91693,0.91192,0.97554,0.92217,106.47,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
